state_vector_id,image_name,page_number,mission,camera,orbit_number,data_origin,utc_time,utc_time_str,cte_time,x1950_x,x1950_y,x1950_z,x1950_xdot,x1950_ydot,x1950_zdot,selenographic_x,selenographic_y,selenographic_z,selenographic_xdot,selenographic_ydot,selenographic_zdot,sigma_x,sigma_y,sigma_z,sigma_xdot,sigma_ydot,sigma_zdot,nadir_point,camera_axis_intersect,spacecraft_radius,mean_altitude_rate,spacecraft_altitude,phi,sigma_phi,kappa,sigma_kappa,omega,sigma_omega,x_tilt,sigma_x_tilt,y_tilt,sigma_y_tilt,heading,sigma_heading,laser_spacecraft_altitude,laser_slant_range,selenographic_cos_x,selenographic_cos_y,selenographic_cos_z,selenographic_magnitude,selenocentric_matrix_tl,selenocentric_matrix_tm,selenocentric_matrix_tr,selenocentric_matrix_ml,selenocentric_matrix_mm,selenocentric_matrix_mr,selenocentric_matrix_bl,selenocentric_matrix_bm,selenocentric_matrix_br,local_horizontal_matrix_tl,local_horizontal_matrix_tm,local_horizontal_matrix_tr,local_horizontal_matrix_ml,local_horizontal_matrix_mm,local_horizontal_matrix_mr,local_horizontal_matrix_bl,local_horizontal_matrix_bm,local_horizontal_matrix_br,photo_footprint1,photo_footprint2,photo_footprint3,photo_footprint4,right_ascension,declination,file_catalog_id,inner_photo_footprint1,inner_photo_footprint2,inner_photo_footprint3,inner_photo_footprint4
22350,AS16-P-5303,5303,AS16,P,63,4/72,1972-04-24 23:07:51.31,1972-4-24T23:07:51.31,8-5:13:51.95,1765.22,575.74,-36.02,0.43,-1.33,-0.82,1671.49,780.73,-212.99,0.66,-1.46,-0.23,,,,,,,"(-6.59,25.89)","(25.89,-6.46)",1857.08,0.01,118.99,-12.34,0,171.78,0,0.01,0,0.01,0,12.34,0,-98.21,0,0,0,-0.97,-0.22,0.14,122.01,0.49,-0.87,-0.49,-0.17,0.47,-0.86,0.98,0.13,-0.13,-0.97,-0.14,-0.21,0.14,-0.99,0,-0.21,-0.03,0.98,"(-0.295,25.509)","(-12.471,27.318)","(-12.285,26.41)","(-0.729,24.713)",,,169947,"(-3.492,25.888)","(-9.305,26.748)","(-9.291,25.931)","(-3.737,25.118)"
22351,AS16-P-5304,5304,AS16,P,63,4/72,1972-04-24 23:07:58.34,1972-4-24T23:07:58.34,8-5:13:58.98,1768.18,566.37,-41.79,0.42,-1.33,-0.82,1676.13,770.41,-214.62,0.65,-1.47,-0.23,,,,,,,"(-6.64,23.8)","(23.8,-6.76)",1857.14,0.01,119.05,12.67,0,171.75,0,0.11,0,0.11,0,-12.67,0,-98.27,0,0,0,-0.79,-0.6,0.08,122.24,0.45,-0.74,-0.5,-0.17,0.48,-0.86,0.87,0.48,0.09,-0.97,-0.14,0.22,0.14,-0.99,0,0.22,0.03,0.98,"(-0.899,23.307)","(-12.475,24.993)","(-12.916,24.178)","(-0.696,22.413)",,,169949,"(-3.917,23.772)","(-9.479,24.58)","(-9.726,23.8)","(-3.895,22.96)"
22352,AS16-P-5305,5305,AS16,P,63,4/72,1972-04-24 23:08:05.45,1972-4-24T23:08:05.45,8-5:14:6.09,1771.12,556.86,-47.62,0.41,-1.34,-0.82,1680.75,759.94,-216.26,0.64,-1.47,-0.23,,,,,,,"(-6.67,25.18)","(25.18,-6.55)",1857.21,0.01,119.12,-12.31,0,171.72,0,0.21,0,0.21,0,12.31,0,-98.24,0,0,0,-0.97,-0.21,0.15,122.12,0.04,-0.87,-0.49,-0.18,0.48,-0.86,0.98,0.12,-0.14,-0.97,-0.14,-0.21,0.14,-0.99,0,-0.21,-0.03,0.98,"(-0.336,24.794)","(-12.525,26.602)","(-12.344,25.7)","(-0.776,23.993)",,,169950,"(-3.568,25.176)","(-9.387,26.037)","(-9.373,25.222)","(-3.815,24.404)"
22353,AS16-P-5306,5306,AS16,P,63,4/72,1972-04-24 23:08:12.55,1972-4-24T23:08:12.55,8-5:14:13.19,1773.97,547.36,-53.43,0.4,-1.34,-0.82,1685.31,749.47,-217.9,0.63,-1.47,-0.23,,,,,,,"(-6.74,23.09)","(23.09,-6.84)",1857.27,0.01,119.18,12.71,0,171.69,0,0.3,0,0.3,0,-12.71,0,-98.38,0,0,0,-0.8,-0.59,0.09,122.38,0.44,-0.74,-0.5,-0.18,0.48,-0.86,0.88,0.47,0.08,-0.97,-0.14,0.22,0.14,-0.99,-0.01,0.22,0.03,0.98,"(-0.946,22.575)","(-12.534,24.283)","(-12.972,23.472)","(-0.738,21.673)",,,169955,"(-3.996,23.05)","(-9.562,23.869)","(-9.811,23.09)","(-3.973,22.234)"
22354,AS16-P-5307,5307,AS16,P,63,4/72,1972-04-24 23:08:19.68,1972-4-24T23:08:19.68,8-5:14:20.32,1776.78,537.79,-59.27,0.39,-1.34,-0.82,1689.81,738.91,-219.53,0.63,-1.48,-0.23,,,,,,,"(-6.79,24.47)","(24.47,-6.64)",1857.33,0.01,119.24,-12.35,0,171.75,0,0.41,0,0.41,0,12.35,0,-98.16,0,0,0,-0.97,-0.19,0.15,122.27,0.02,-0.87,-0.49,-0.18,0.48,-0.86,0.98,0.11,-0.15,-0.97,-0.14,-0.21,0.14,-0.99,-0.01,-0.21,-0.04,0.98,"(-0.371,24.092)","(-12.583,25.878)","(-12.404,24.98)","(-0.818,23.284)",,,169957,"(-3.642,24.472)","(-9.47,25.323)","(-9.457,24.509)","(-3.891,23.696)"
21144,AS16-P-4091,4091,AS16,P,4,4/72,1972-04-20 02:32:11.14,1972-4-20T02:32:11.14,3-8:38:11.77,-890.07,1343.6,891.41,1.41,0.76,0.22,-1778.15,-387.44,283.14,-0.33,1.58,-0.06,,,,,,,"(8.84,-168.52)","(-168.52,8.84)",1841.77,-0.02,103.68,13.11,0,177.94,0,0.4,0,0.4,0,-13.11,0,-92.15,0,0,0,0.89,0.43,-0.15,106.63,0.73,0.63,0.25,-0.13,0.48,-0.87,-0.67,0.6,0.43,-0.97,-0.04,0.23,0.04,-1,-0.01,0.23,0,0.97,"(13.949,-168.412)","(3.869,-168.019)","(3.57,-168.737)","(14.207,-169.192)",,,168733,"(11.305,-168.281)","(6.421,-168.092)","(6.276,-168.783)","(11.4,-168.999)"
21145,AS16-P-4092,4092,AS16,P,4,4/72,1972-04-20 02:32:16.72,1972-4-20T02:32:16.72,3-8:38:17.35,-882.21,1347.83,892.64,1.41,0.75,0.22,-1780,-378.61,282.82,-0.33,1.58,-0.06,,,,,,,"(8.83,-167.26)","(-167.26,8.88)",1841.67,-0.02,103.58,-11.9,0,177.91,0,0.4,0,0.4,0,11.9,0,-92.01,0,0,0,0.99,0,-0.14,106,0.95,0.31,0.04,-0.13,0.48,-0.87,-0.29,0.82,0.5,-0.98,-0.03,-0.21,0.04,-1,-0.01,-0.21,-0.01,0.98,"(14.235,-167.002)","(3.693,-166.674)","(3.913,-167.401)","(13.952,-167.751)",,,168734,"(11.451,-166.977)","(6.368,-166.817)","(6.452,-167.508)","(11.318,-167.678)"
21146,AS16-P-4093,4093,AS16,P,4,4/72,1972-04-20 02:32:22.36,1972-4-20T02:32:22.36,3-8:38:22.99,-874.25,1352.07,893.86,1.41,0.75,0.21,-1781.83,-369.67,282.49,-0.32,1.56,-0.06,,,,,,,"(8.82,-169.08)","(-169.08,8.82)",1841.57,-0.02,103.48,13.1,0,177.88,0,0.43,0,0.43,0,-13.1,0,-92.22,0,0,0,0.9,0.42,-0.15,106.42,0.74,0.62,0.24,-0.13,0.48,-0.87,-0.66,0.61,0.44,-0.97,-0.04,0.23,0.04,-1,-0.01,0.23,0,0.97,"(13.926,-168.986)","(3.867,-168.583)","(3.568,-169.298)","(14.183,-169.767)",,,168735,"(11.283,-168.854)","(6.41,-168.659)","(6.264,-169.348)","(11.378,-169.571)"
21147,AS16-P-4094,4094,AS16,P,4,4/72,1972-04-20 02:32:28.35,1972-4-20T02:32:28.35,3-8:38:28.98,-865.77,1356.53,895.12,1.42,0.74,0.21,-1783.72,-360.17,282.14,-0.31,1.58,-0.06,,,,,,,"(8.81,-167.86)","(-167.86,8.87)",1841.46,-0.02,103.37,-11.91,0,177.84,0,0.45,0,0.45,0,11.91,0,-92.06,0,0,0,0.99,-0.01,-0.13,105.79,0.95,0.31,0.03,-0.13,0.48,-0.87,-0.28,0.82,0.5,-0.98,-0.04,-0.21,0.04,-1,-0.01,-0.21,-0.02,0.98,"(14.217,-167.601)","(3.697,-167.265)","(3.915,-167.989)","(13.933,-168.349)",,,168736,"(11.432,-167.574)","(6.36,-167.409)","(6.442,-168.098)","(11.298,-168.273)"
21148,AS16-P-4095,4095,AS16,P,17,4/72,1972-04-21 03:23:45.62,1972-4-21T03:23:45.62,4-9:29:46.25,-909.36,1342.84,896.88,1.39,0.8,0.24,-1830.56,27.09,287.88,0,1.62,-0.06,,,,,,,"(8.94,178.31)","(178.31,8.91)",1853.25,0.01,115.16,12.41,0,178.01,0,0.05,0,0.05,0,-12.41,0,-92,0,0,0,0.97,0.2,-0.16,118.11,0.74,0.63,0.25,-0.13,0.49,-0.86,-0.66,0.6,0.44,-0.98,-0.03,0.21,0.03,-1,0,0.21,0.01,0.98,"(14.564,178.431)","(3.299,178.845)","(2.968,178.037)","(14.837,177.57)",,,168739,"(11.638,178.57)","(6.213,178.768)","(6.057,178)","(11.737,177.779)"
